title,slug,link,match_title,match_year,seen
Bob le Flambeur (1956),bob-le-flambeur,https://letterboxd.com/film/bob-le-flambeur/,bob le flambeur,1956,True
The Ten Commandments (1956),the-ten-commandments-1956,https://letterboxd.com/film/the-ten-commandments-1956/,the ten commandments,1956,True
The Wrong Man (1956),the-wrong-man,https://letterboxd.com/film/the-wrong-man/,the wrong man,1956,True
The Seventh Seal (1957),the-seventh-seal,https://letterboxd.com/film/the-seventh-seal/,the seventh seal,1957,True
The Incredible Shrinking Man (1957),the-incredible-shrinking-man,https://letterboxd.com/film/the-incredible-shrinking-man/,the incredible shrinking man,1957,True
12 Angry Men (1957),12-angry-men,https://letterboxd.com/film/12-angry-men/,12 angry men,1957,True
Gunfight at the O.K. Corral (1957),gunfight-at-the-ok-corral,https://letterboxd.com/film/gunfight-at-the-ok-corral/,gunfight at the o.k. corral,1957,True
Sweet Smell of Success (1957),sweet-smell-of-success,https://letterboxd.com/film/sweet-smell-of-success/,sweet smell of success,1957,True
An Affair to Remember (1957),an-affair-to-remember,https://letterboxd.com/film/an-affair-to-remember/,an affair to remember,1957,True
Paths of Glory (1957),paths-of-glory,https://letterboxd.com/film/paths-of-glory/,paths of glory,1957,True
The Bridge on the River Kwai (1957),the-bridge-on-the-river-kwai,https://letterboxd.com/film/the-bridge-on-the-river-kwai/,the bridge on the river kwai,1957,True
Touch of Evil (1958),touch-of-evil,https://letterboxd.com/film/touch-of-evil/,touch of evil,1958,True
Dracula (1958),dracula-1958,https://letterboxd.com/film/dracula-1958/,dracula,1958,True
Mon Oncle (1958),mon-oncle,https://letterboxd.com/film/mon-oncle/,mon oncle,1958,True
Vertigo (1958),vertigo,https://letterboxd.com/film/vertigo/,vertigo,1958,True
Some Came Running (1958),some-came-running,https://letterboxd.com/film/some-came-running/,some came running,1958,True
Some Like It Hot (1959),some-like-it-hot,https://letterboxd.com/film/some-like-it-hot/,some like it hot,1959,True
The 400 Blows (1959),the-400-blows,https://letterboxd.com/film/the-400-blows/,the 400 blows,1959,True
Hiroshima Mon Amour (1959),hiroshima-mon-amour,https://letterboxd.com/film/hiroshima-mon-amour/,hiroshima mon amour,1959,True
Anatomy of a Murder (1959),anatomy-of-a-murder,https://letterboxd.com/film/anatomy-of-a-murder/,anatomy of a murder,1959,True
North by Northwest (1959),north-by-northwest,https://letterboxd.com/film/north-by-northwest/,north by northwest,1959,True
Floating Weeds (1959),floating-weeds,https://letterboxd.com/film/floating-weeds/,floating weeds,1959,True
Ben-Hur (1959),ben-hur-1959,https://letterboxd.com/film/ben-hur-1959/,ben-hur,1959,True
Pickpocket (1959),pickpocket,https://letterboxd.com/film/pickpocket/,pickpocket,1959,True
Eyes Without a Face (1960),eyes-without-a-face,https://letterboxd.com/film/eyes-without-a-face/,eyes without a face,1960,True
La Dolce Vita (1960),la-dolce-vita,https://letterboxd.com/film/la-dolce-vita/,la dolce vita,1960,True
Breathless (1960),breathless,https://letterboxd.com/film/breathless/,breathless,1960,True
Le Trou (1960),le-trou,https://letterboxd.com/film/le-trou/,le trou,1960,True
Peeping Tom (1960),peeping-tom,https://letterboxd.com/film/peeping-tom/,peeping tom,1960,True
L'Avventura (1960),lavventura,https://letterboxd.com/film/lavventura/,l'avventura,1960,True
The Apartment (1960),the-apartment,https://letterboxd.com/film/the-apartment/,the apartment,1960,True
Psycho (1960),psycho,https://letterboxd.com/film/psycho/,psycho,1960,True
Black Sunday (1960),black-sunday-1960,https://letterboxd.com/film/black-sunday-1960/,black sunday,1960,True
Spartacus (1960),spartacus,https://letterboxd.com/film/spartacus/,spartacus,1960,True
Shoot the Piano Player (1960),shoot-the-piano-player,https://letterboxd.com/film/shoot-the-piano-player/,shoot the piano player,1960,True
La Notte (1961),la-notte,https://letterboxd.com/film/la-notte/,la notte,1961,True
Lola (1961),lola,https://letterboxd.com/film/lola/,lola,1961,True
Viridiana (1961),viridiana,https://letterboxd.com/film/viridiana/,viridiana,1961,True
Breakfast at Tiffany's (1961),breakfast-at-tiffanys,https://letterboxd.com/film/breakfast-at-tiffanys/,breakfast at tiffany's,1961,True
Splendor in the Grass (1961),splendor-in-the-grass,https://letterboxd.com/film/splendor-in-the-grass/,splendor in the grass,1961,True
West Side Story (1961),west-side-story,https://letterboxd.com/film/west-side-story/,west side story,1961,True
Jules and Jim (1962),jules-and-jim,https://letterboxd.com/film/jules-and-jim/,jules and jim,1962,True
La Jetée (1962),la-jetee,https://letterboxd.com/film/la-jetee/,la jetée,1962,True
Mondo Cane (1962),mondo-cane,https://letterboxd.com/film/mondo-cane/,mondo cane,1962,True
L'Eclisse (1962),leclisse,https://letterboxd.com/film/leclisse/,l'eclisse,1962,True
The Man Who Shot Liberty Valance (1962),the-man-who-shot-liberty-valance,https://letterboxd.com/film/the-man-who-shot-liberty-valance/,the man who shot liberty valance,1962,True
What Ever Happened to Baby Jane? (1962),what-ever-happened-to-baby-jane,https://letterboxd.com/film/what-ever-happened-to-baby-jane/,what ever happened to baby jane?,1962,True
To Kill a Mockingbird (1962),to-kill-a-mockingbird,https://letterboxd.com/film/to-kill-a-mockingbird/,to kill a mockingbird,1962,True
8½ (1963),8-half,https://letterboxd.com/film/8-half/,8½,1963,True
The Birds (1963),the-birds,https://letterboxd.com/film/the-birds/,the birds,1963,True
The Leopard (1963),the-leopard,https://letterboxd.com/film/the-leopard/,the leopard,1963,True
Hud (1963),hud,https://letterboxd.com/film/hud/,hud,1963,True
The Nutty Professor (1963),the-nutty-professor,https://letterboxd.com/film/the-nutty-professor/,the nutty professor,1963,True
The Great Escape (1963),the-great-escape,https://letterboxd.com/film/the-great-escape/,the great escape,1963,True
Shock Corridor (1963),shock-corridor,https://letterboxd.com/film/shock-corridor/,shock corridor,1963,True
Scorpio Rising (1963),scorpio-rising,https://letterboxd.com/film/scorpio-rising/,scorpio rising,1963,True
Contempt (1963),contempt,https://letterboxd.com/film/contempt/,contempt,1963,True
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb,https://letterboxd.com/film/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb/,dr. strangelove or: how i learned to stop worrying and love the bomb,1964,True
The Umbrellas of Cherbourg (1964),the-umbrellas-of-cherbourg,https://letterboxd.com/film/the-umbrellas-of-cherbourg/,the umbrellas of cherbourg,1964,True
A Hard Day's Night (1964),a-hard-days-night,https://letterboxd.com/film/a-hard-days-night/,a hard day's night,1964,True
Mary Poppins (1964),mary-poppins,https://letterboxd.com/film/mary-poppins/,mary poppins,1964,True
Red Desert (1964),red-desert,https://letterboxd.com/film/red-desert/,red desert,1964,True
Goldfinger (1964),goldfinger,https://letterboxd.com/film/goldfinger/,goldfinger,1964,True
Onibaba (1964),onibaba,https://letterboxd.com/film/onibaba/,onibaba,1964,True
Fantomas (1964),fantomas-1964,https://letterboxd.com/film/fantomas-1964/,fantomas,1964,True
Le Gendarme de Saint-Tropez (1964),le-gendarme-de-saint-tropez,https://letterboxd.com/film/le-gendarme-de-saint-tropez/,le gendarme de saint-tropez,1964,True
The Sound of Music (1965),the-sound-of-music,https://letterboxd.com/film/the-sound-of-music/,the sound of music,1965,True
Alphaville (1965),alphaville,https://letterboxd.com/film/alphaville/,alphaville,1965,True
Repulsion (1965),repulsion,https://letterboxd.com/film/repulsion/,repulsion,1965,True
Pierrot le Fou (1965),pierrot-le-fou,https://letterboxd.com/film/pierrot-le-fou/,pierrot le fou,1965,True
Doctor Zhivago (1965),doctor-zhivago,https://letterboxd.com/film/doctor-zhivago/,doctor zhivago,1965,True
Who's Afraid of Virginia Woolf? (1966),whos-afraid-of-virginia-woolf,https://letterboxd.com/film/whos-afraid-of-virginia-woolf/,who's afraid of virginia woolf?,1966,True
Closely Watched Trains (1966),closely-watched-trains,https://letterboxd.com/film/closely-watched-trains/,closely watched trains,1966,True
Blow-Up (1966),blow-up,https://letterboxd.com/film/blow-up/,blow-up,1966,True
"The Good, the Bad and the Ugly (1966)",the-good-the-bad-and-the-ugly,https://letterboxd.com/film/the-good-the-bad-and-the-ugly/,"the good, the bad and the ugly",1966,True
Daisies (1966),daisies,https://letterboxd.com/film/daisies/,daisies,1966,True
The Young Girls of Rochefort (1967),the-young-girls-of-rochefort,https://letterboxd.com/film/the-young-girls-of-rochefort/,the young girls of rochefort,1967,True
2 or 3 Things I Know About Her (1967),2-or-3-things-i-know-about-her,https://letterboxd.com/film/2-or-3-things-i-know-about-her/,2 or 3 things i know about her,1967,True
Belle de Jour (1967),belle-de-jour,https://letterboxd.com/film/belle-de-jour/,belle de jour,1967,True
Cool Hand Luke (1967),cool-hand-luke,https://letterboxd.com/film/cool-hand-luke/,cool hand luke,1967,True
Bonnie and Clyde (1967),bonnie-and-clyde,https://letterboxd.com/film/bonnie-and-clyde/,bonnie and clyde,1967,True
In the Heat of the Night (1967),in-the-heat-of-the-night,https://letterboxd.com/film/in-the-heat-of-the-night/,in the heat of the night,1967,True
Le Samouraï (1967),le-samourai,https://letterboxd.com/film/le-samourai/,le samouraï,1967,True
