title,slug,link,match_title,match_year,seen
The Defiant Ones (1958),the-defiant-ones,https://letterboxd.com/film/the-defiant-ones/,the defiant ones,1958,False
"Ivan the Terrible, Part II: The Boyars' Plot (1958)",ivan-the-terrible-part-ii-the-boyars-plot,https://letterboxd.com/film/ivan-the-terrible-part-ii-the-boyars-plot/,"ivan the terrible, part ii: the boyars' plot",1958,False
Man of the West (1958),man-of-the-west,https://letterboxd.com/film/man-of-the-west/,man of the west,1958,False
Ashes and Diamonds (1958),ashes-and-diamonds,https://letterboxd.com/film/ashes-and-diamonds/,ashes and diamonds,1958,False
The Music Room (1958),the-music-room,https://letterboxd.com/film/the-music-room/,the music room,1958,False
Ride Lonesome (1959),ride-lonesome,https://letterboxd.com/film/ride-lonesome/,ride lonesome,1959,False
Rio Bravo (1959),rio-bravo,https://letterboxd.com/film/rio-bravo/,rio bravo,1959,False
Apur Sansar (1959),apur-sansar,https://letterboxd.com/film/apur-sansar/,apur sansar,1959,False
Black Orpheus (1959),black-orpheus,https://letterboxd.com/film/black-orpheus/,black orpheus,1959,False
Shadows (1958),shadows-1958,https://letterboxd.com/film/shadows-1958/,shadows,1958,False
The Cloud-Capped Star (1960),the-cloud-capped-star,https://letterboxd.com/film/the-cloud-capped-star/,the cloud-capped star,1960,False
The Young One (1960),the-young-one,https://letterboxd.com/film/the-young-one/,the young one,1960,False
Rocco and His Brothers (1960),rocco-and-his-brothers,https://letterboxd.com/film/rocco-and-his-brothers/,rocco and his brothers,1960,False
Saturday Night and Sunday Morning (1960),saturday-night-and-sunday-morning,https://letterboxd.com/film/saturday-night-and-sunday-morning/,saturday night and sunday morning,1960,False
The Housemaid (1960),the-housemaid,https://letterboxd.com/film/the-housemaid/,the housemaid,1960,False
One-Eyed Jacks (1961),one-eyed-jacks,https://letterboxd.com/film/one-eyed-jacks/,one-eyed jacks,1961,False
Chronicle of a Summer (1961),chronicle-of-a-summer,https://letterboxd.com/film/chronicle-of-a-summer/,chronicle of a summer,1961,False
Last Year at Marienbad (1961),last-year-at-marienbad,https://letterboxd.com/film/last-year-at-marienbad/,last year at marienbad,1961,False
Through a Glass Darkly (1961),through-a-glass-darkly,https://letterboxd.com/film/through-a-glass-darkly/,through a glass darkly,1961,False
The Ladies Man (1961),the-ladies-man-1961,https://letterboxd.com/film/the-ladies-man-1961/,the ladies man,1961,False
The Exiles (1961),the-exiles,https://letterboxd.com/film/the-exiles/,the exiles,1961,False
The Hustler (1961),the-hustler,https://letterboxd.com/film/the-hustler/,the hustler,1961,False
Heaven and Earth Magic (1962),heaven-and-earth-magic,https://letterboxd.com/film/heaven-and-earth-magic/,heaven and earth magic,1962,False
Cléo from 5 to 7 (1962),cleo-from-5-to-7,https://letterboxd.com/film/cleo-from-5-to-7/,cléo from 5 to 7,1962,False
The Given Word (1962),the-given-word,https://letterboxd.com/film/the-given-word/,the given word,1962,False
The Exterminating Angel (1962),the-exterminating-angel,https://letterboxd.com/film/the-exterminating-angel/,the exterminating angel,1962,False
Lolita (1962),lolita,https://letterboxd.com/film/lolita/,lolita,1962,False
Vivre Sa Vie (1962),vivre-sa-vie,https://letterboxd.com/film/vivre-sa-vie/,vivre sa vie,1962,False
The Manchurian Candidate (1962),the-manchurian-candidate,https://letterboxd.com/film/the-manchurian-candidate/,the manchurian candidate,1962,False
An Autumn Afternoon (1962),an-autumn-afternoon,https://letterboxd.com/film/an-autumn-afternoon/,an autumn afternoon,1962,False
Lawrence of Arabia (1962),lawrence-of-arabia,https://letterboxd.com/film/lawrence-of-arabia/,lawrence of arabia,1962,False
Harakiri (1962),harakiri,https://letterboxd.com/film/harakiri/,harakiri,1962,False
The House Is Black (1963),the-house-is-black,https://letterboxd.com/film/the-house-is-black/,the house is black,1963,False
An Actor's Revenge (1963),an-actors-revenge,https://letterboxd.com/film/an-actors-revenge/,an actor's revenge,1963,False
Winter Light (1963),winter-light,https://letterboxd.com/film/winter-light/,winter light,1963,False
Blonde Cobra (1963),blonde-cobra,https://letterboxd.com/film/blonde-cobra/,blonde cobra,1963,False
Méditerranée (1963),mediterranee,https://letterboxd.com/film/mediterranee/,méditerranée,1963,False
Flaming Creatures (1963),flaming-creatures,https://letterboxd.com/film/flaming-creatures/,flaming creatures,1963,False
The Haunting (1963),the-haunting,https://letterboxd.com/film/the-haunting/,the haunting,1963,False
Barren Lives (1963),barren-lives,https://letterboxd.com/film/barren-lives/,barren lives,1963,False
The Cool World (1963),the-cool-world,https://letterboxd.com/film/the-cool-world/,the cool world,1963,False
The Servant (1963),the-servant,https://letterboxd.com/film/the-servant/,the servant,1963,False
Passenger (1963),passenger,https://letterboxd.com/film/passenger/,passenger,1963,False
High and Low (1963),high-and-low,https://letterboxd.com/film/high-and-low/,high and low,1963,False
Woman in the Dunes (1964),woman-in-the-dunes,https://letterboxd.com/film/woman-in-the-dunes/,woman in the dunes,1964,False
"Black God, White Devil (1964)",black-god-white-devil,https://letterboxd.com/film/black-god-white-devil/,"black god, white devil",1964,False
Before the Revolution (1964),before-the-revolution,https://letterboxd.com/film/before-the-revolution/,before the revolution,1964,False
The Masque of the Red Death (1964),the-masque-of-the-red-death,https://letterboxd.com/film/the-masque-of-the-red-death/,the masque of the red death,1964,False
Marnie (1964),marnie,https://letterboxd.com/film/marnie/,marnie,1964,False
The Gospel According to St. Matthew (1964),the-gospel-according-to-st-matthew,https://letterboxd.com/film/the-gospel-according-to-st-matthew/,the gospel according to st. matthew,1964,False
My Fair Lady (1964),my-fair-lady,https://letterboxd.com/film/my-fair-lady/,my fair lady,1964,False
Gertrud (1964),gertrud,https://letterboxd.com/film/gertrud/,gertrud,1964,False
The Saragossa Manuscript (1965),the-saragossa-manuscript,https://letterboxd.com/film/the-saragossa-manuscript/,the saragossa manuscript,1965,False
Dog Star Man (1965),dog-star-man,https://letterboxd.com/film/dog-star-man/,dog star man,1965,False
Chimes at Midnight (1965),chimes-at-midnight,https://letterboxd.com/film/chimes-at-midnight/,chimes at midnight,1965,False
Tokyo Olympiad (1965),tokyo-olympiad,https://letterboxd.com/film/tokyo-olympiad/,tokyo olympiad,1965,False
The Shop on Main Street (1965),the-shop-on-main-street,https://letterboxd.com/film/the-shop-on-main-street/,the shop on main street,1965,False
Vinyl (1965),vinyl,https://letterboxd.com/film/vinyl/,vinyl,1965,False
"Faster, Pussycat! Kill! Kill! (1965)",faster-pussycat-kill-kill,https://letterboxd.com/film/faster-pussycat-kill-kill/,"faster, pussycat! kill! kill!",1965,False
Shadows of Forgotten Ancestors (1965),shadows-of-forgotten-ancestors,https://letterboxd.com/film/shadows-of-forgotten-ancestors/,shadows of forgotten ancestors,1965,False
The Golden Thread (1965),the-golden-thread-1965,https://letterboxd.com/film/the-golden-thread-1965/,the golden thread,1965,False
Juliet of the Spirits (1965),juliet-of-the-spirits,https://letterboxd.com/film/juliet-of-the-spirits/,juliet of the spirits,1965,False
Masculin Féminin (1966),masculin-feminin,https://letterboxd.com/film/masculin-feminin/,masculin féminin,1966,False
Come Drink with Me (1966),come-drink-with-me,https://letterboxd.com/film/come-drink-with-me/,come drink with me,1966,False
